
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
L9,VSS_L9,,,,,,,,,,,,,,,,,
K9,VSS_K9,,,,,,,,,,,,,,,,,
V7,VDD_TEMP_V7,,,,,,,,,,,,,,,,,
W3,TEMPCAL,,,,,,,,,,,,,,,,,
R9,VSSA_R9,,,,,,,,,,,,,,,,,
W4,DAC_OUT,,DAC_OUT,,,,,,,,,,,,,,,
T9,VDDA33_T9,,,,,,,,,,,,,,,,,
T12,VDDA33_T12,,,,,,,,,,,,,,,,,
U10,VDDA18_LDO_U10,,,,,,,,,,,,,,,,,
U11,VDDA18_LDO_U11,,,,,,,,,,,,,,,,,
Y4,VSYS_MON,,VSYS_MON,,,,,,,,,,,,,,,
R12,VSSA_R12,,,,,,,,,,,,,,,,,
W5,ATESTV1,,,,,,,,,,,,,,,,,
Y5,ADC2_AIN6,,ADC2_AIN6,,,,,,,,,,,,,,,
V9,ADC2_AIN5,,ADC2_AIN5,,,,,,,,,,,,,,,
W6,ADC2_AIN4,,ADC2_AIN4,,,,,,,,,,,,,,,
W7,ADC2_AIN3,,ADC2_AIN3,,,,,,,,,,,,,,,
Y6,ADC2_AIN2,,ADC2_AIN2,,,,,,,,,,,,,,,
Y7,ADC2_AIN1,,ADC2_AIN1,,,,,,,,,,,,,,,
W8,ADC2_AIN0,,ADC2_AIN0,,,,,,,,,,,,,,,
Y8,ADC_VREFHI_G1,,,,,,,,,,,,,,,,,
Y9,ADC_VREFLO_G1,,,,,,,,,,,,,,,,,
J9,VSS_J9,,,,,,,,,,,,,,,,,
W9,ADC1_AIN6,,ADC1_AIN6,,,,,,,,,,,,,,,
W10,ADC1_AIN5,,ADC1_AIN5,,,,,,,,,,,,,,,
Y10,ADC1_AIN4,,ADC1_AIN4,,,,,,,,,,,,,,,
W11,ADC1_AIN3,,ADC1_AIN3,,,,,,,,,,,,,,,
Y11,ADC1_AIN2,,ADC1_AIN2,,,,,,,,,,,,,,,
V12,ADC1_AIN1,,ADC1_AIN1,,,,,,,,,,,,,,,
W12,ADC1_AIN0,,ADC1_AIN0,,,,,,,,,,,,,,,
Y12,ADC_VREFHI_G0,,,,,,,,,,,,,,,,,
Y13,ADC_VREFLO_G0,,,,,,,,,,,,,,,,,
W13,ADC0_AIN0,,ADC0_AIN0,,,,,,,,,,,,,,,
U13,ADC0_AIN1,,ADC0_AIN1,,,,,,,,,,,,,,,
W14,ADC0_AIN2,,ADC0_AIN2,,,,,,,,,,,,,,,
V14,ADC0_AIN3,,ADC0_AIN3,,,,,,,,,,,,,,,
Y14,ADC0_AIN4,,ADC0_AIN4,,,,,,,,,,,,,,,
W15,ADC0_AIN5,,ADC0_AIN5,,,,,,,,,,,,,,,
Y15,ADC0_AIN6,,ADC0_AIN6,,,,,,,,,,,,,,,
V16,ADC_CAL0,,,,,,,,,,,,,,,,,
U15,DAC_VREF0,,DAC_VREF0,,,,,,,,,,,,,,,
H9,VSS_H9,,,,,,,,,,,,,,,,,
W16,GPIO71,,PR1_PRU1_GPIO0,UART1_DSRn,,UART4_RTSn,,,GPMC0_AD0,GPIO71,,,,,,,,
Y16,GPIO72,,PR1_PRU1_GPIO1,,MII1_RX_ER,UART4_CTSn,,,GPMC0_AD1,GPIO72,,,,,,,,
G9,VSS_G9,,,,,,,,,,,,,,,,,
T14,VDDSHV_C_T14,,,,,,,,,,,,,,,,,
L17,VDDS18_L17,,,,,,,,,,,,,,,,,
P10,VSS_P10,,,,,,,,,,,,,,,,,
N10,VSS_N10,,,,,,,,,,,,,,,,,
W17,GPIO73,,PR1_PRU1_GPIO2,,MII1_COL,UART5_TXD,,,GPMC0_AD2,GPIO73,,CHANNEL4,,,,,,
Y17,GPIO74,,PR1_PRU1_GPIO9,,MII1_CRS,UART5_RXD,,,GPMC0_AD9,GPIO74,,CHANNEL5,,,,,,
Y18,GPIO31,,RGMII1_RD0,RMII1_RXD0,MII1_RXD0,OSPI1_D1,,,FSITX0_D1,GPIO31,,,,,,,,
W18,GPIO32,,RGMII1_RD1,RMII1_RXD1,MII1_RXD1,OSPI1_D2,,,FSIRX0_CLK,GPIO32,,,,,,,,
Y19,GPIO33,,RGMII1_RD2,PR1_IEP0_EDC_SYNC_OUT0,MII1_RXD2,OSPI1_D3,UART1_RXD,,FSIRX0_D0,GPIO33,EQEP0_A,GPMC0_CSn2,,,,,,
P16,VDDSHV_E_P16,,,,,,,,,,,,,,,,,
W19,GPIO34,,RGMII1_RD3,PR1_IEP0_EDIO_DATA_IN_OUT31,MII1_RXD3,OSPI1_D4,UART1_TXD,,FSIRX0_D1,GPIO34,EQEP0_B,GPMC0_CSn3,,,,,,
W20,GPIO29,,RGMII1_RXC,RMII1_REF_CLK,MII1_RXCLK,OSPI1_CLK,,,FSITX0_CLK,GPIO29,,,,,,,,
